Street.Name,lon,lat
TAMPINES AVE 5,103.9414861,1.3503018
TOA PAYOH EAST,103.8573472,1.3342046
CIRCUIT RD,103.8883199,1.3263918
LOR 6 TOA PAYOH,103.8534021,1.3380639
TAMPINES CTRL 7,103.9400907,1.3581378
WOODLANDS ST 13,103.7775041,1.4349471
TELOK BLANGAH CRES,103.820226,1.2770566
LOR 5 TOA PAYOH,103.8527387,1.3365164
LOR LEW LIAN,103.8772944,1.3500706
MARSILING LANE,103.775801,1.4450726
LOWER DELTA RD,103.8238238,1.2806145
ANG MO KIO AVE 8,103.8486932,1.3707675
BOON LAY AVE,103.7103715,1.3470152
HO CHING RD,103.7240884,1.3344034
MARSILING DR,103.7750429,1.4422643
ANG MO KIO AVE 4,103.839342,1.3762852
LOR 4 TOA PAYOH,103.8507769,1.3355859
MARINE TER,103.9153203,1.3050614
MARSILING CRES,103.7749047,1.4481551
BOON LAY PL,103.7128869,1.3468732
LOR 1 TOA PAYOH,103.8481821,1.3397621
CHANGI VILLAGE RD,103.9874016,1.3846035
BEDOK NTH AVE 2,103.9306035,1.3306131
JLN BT MERAH,103.8193837,1.2835701
LOR 7 TOA PAYOH,103.856379,1.3373747
LOR 2 TOA PAYOH,103.8462992,1.3360505
BOON LAY DR,103.712868,1.3438613
C'WEALTH CL,103.7983862,1.3024191
KIM KEAT AVE,103.8580209,1.3332088
C'WEALTH DR,103.7983862,1.3024191
C'WEALTH CRES,103.7983862,1.3024191
ANG MO KIO AVE 3,103.8572732,1.3690195
JLN BAHAGIA,103.858069,1.327168
BALAM RD,103.8865832,1.3298887
JLN BATU,103.8833749,1.3029391
HAVELOCK RD,103.8359745,1.2890035
YUAN CHING RD,103.7250768,1.3351474
BEDOK NTH ST 2,103.9372078,1.3286351
TAO CHING RD,103.7240581,1.332941
YISHUN AVE 11,103.8447187,1.424577
UPP ALJUNIED LANE,103.8795896,1.3342403
MACPHERSON LANE,103.8851893,1.3319149
TELOK BLANGAH DR,103.807824,1.2729361
JLN BT HO SWEE,103.8296988,1.2873866
HOUGANG AVE 3,103.8908706,1.3527672
SEMBAWANG DR,103.8168923,1.4525413
RIVERVALE CRES,103.9074777,1.391581
BEO CRES,103.8270425,1.2891612
STIRLING RD,103.8043998,1.295345
TEBAN GDNS RD,103.7416108,1.3219153
BEDOK NTH AVE 4,103.9294412,1.3257849
SENJA RD,103.7619062,1.38666
BENDEMEER RD,103.8652909,1.3207154
TELOK BLANGAH RISE,103.8212924,1.2727546
MARSILING RISE,103.7811348,1.4393379
LOR 8 TOA PAYOH,103.8564707,1.3397838
BEDOK NTH ST 3,103.9275759,1.3332472
BUANGKOK GREEN,103.8826989,1.3793342
MONTREAL LINK,103.8269458,1.4506809
WELLINGTON CIRCLE,103.8220532,1.4527365
JURONG WEST ST 93,103.6930683,1.3381307
TOA PAYOH NTH,103.8493198,1.3416825
ALJUNIED CRES,103.8856818,1.3202748
TECK WHYE CRES,103.7528938,1.3826387
WOODLANDS CRES,103.8024146,1.4468524
ANG MO KIO AVE 10,103.8565486,1.3667607
HOY FATT RD,103.8118869,1.2881187
JLN KUKOH,103.8397507,1.2879319
JLN KLINIK,103.8288073,1.2876274
BEACH RD,103.8592765,1.299508
PAYA LEBAR WAY,103.8835345,1.3227992
YISHUN AVE 5,103.8308862,1.430447
JURONG EAST ST 32,103.7338564,1.3470214
LOR LIMAU,103.8549649,1.3241276
CLEMENTI AVE 5,103.7680375,1.317268
EUNOS CRES,103.9037403,1.3215159
BEDOK STH RD,103.9378409,1.3203597
JLN RUMAH TINGGI,103.8094517,1.2878573
PANDAN GDNS,103.7478726,1.3202807
FERNVALE RD,103.8761093,1.3938619
ST. GEORGE'S LANE,103.8617396,1.3223171
CHOA CHU KANG ST 51,103.7430316,1.3913255
BT BATOK ST 32,103.7483814,1.3623271
SELEGIE RD,103.850061,1.3030725
BT BATOK ST 52,103.7534358,1.3562086
WHAMPOA DR,103.8565101,1.3235894
SIN MING RD,103.8377447,1.3559014
BT BATOK EAST AVE 4,103.758536,1.3494737
BEDOK RESERVOIR RD,103.9215479,1.3370403
TAMAN HO SWEE,103.8319651,1.2877739
SEGAR RD,103.7707991,1.3886269
YISHUN RING RD,103.8321027,1.4260651
BT BATOK ST 31,103.749039,1.3581686
SERANGOON NTH AVE 1,103.8723348,1.3644344
ST. GEORGE'S RD,103.862383,1.3231352
BT BATOK ST 33,103.7476264,1.3619417
ANG MO KIO AVE 5,103.8556196,1.3758877
BEDOK STH AVE 1,103.9337491,1.320875
JURONG WEST ST 41,103.7232204,1.3482978
BT BATOK ST 34,103.7499928,1.3637652
JURONG EAST ST 24,103.7414262,1.3422781
YISHUN ST 71,103.8295792,1.4271142
BT BATOK ST 11,103.7433344,1.349818
HOUGANG AVE 8,103.8882516,1.3746983
BEDOK NTH RD,103.9305125,1.3306806
YISHUN ST 22,103.8375152,1.4371181
BT BATOK EAST AVE 5,103.7549128,1.3532617
JURONG EAST ST 21,103.7433629,1.3369679
BT BATOK WEST AVE 6,103.7429384,1.3534631
YISHUN CTRL,103.8405467,1.4263378
BEDOK NTH AVE 3,103.9343452,1.3313227
GHIM MOH RD,103.7874454,1.3117378
SIMS DR,103.8789386,1.3181336
LOR 3 TOA PAYOH,103.8480507,1.3380105
TELOK BLANGAH WAY,103.8191846,1.2758577
BUANGKOK CRES,103.8806254,1.3838642
WEST COAST DR,103.7593117,1.3138146
BT BATOK WEST AVE 8,103.739702,1.3554152
SENGKANG WEST WAY,103.8771791,1.3953829
TECK WHYE AVE,103.7539339,1.3812156
JLN KAYU,103.8730804,1.3965161
YISHUN AVE 3,103.8299127,1.4237768
PUNGGOL CTRL,103.9110936,1.3993402
TECK WHYE LANE,103.7526191,1.3788984
YISHUN AVE 6,103.8453055,1.432994
CLEMENTI WEST ST 1,103.7666794,1.3047221
ANCHORVALE LINK,103.8900824,1.3921549
BT MERAH VIEW,103.8218918,1.2840845
CLEMENTI AVE 3,103.7634959,1.313797
CHAI CHEE ST,103.9226738,1.328415
BT BATOK ST 51,103.7506292,1.3556701
BT BATOK WEST AVE 2,103.747229,1.3578248
JURONG WEST ST 91,103.6898549,1.3418091
HOUGANG AVE 1,103.889824,1.3544184
ANG MO KIO AVE 1,103.8473986,1.363592
JLN DUA,103.887611,1.3090267
BEDOK NTH AVE 1,103.9267275,1.3283757
BT BATOK ST 21,103.7533553,1.3465004
BT BATOK WEST AVE 4,103.7469027,1.3626282
BEDOK STH AVE 3,103.9456108,1.3206888
NEW UPP CHANGI RD,103.9351317,1.3245193
KING GEORGE'S AVE,103.8606542,1.3088963
CLEMENTI WEST ST 2,103.7627819,1.3036513
COMPASSVALE LANE,103.8983491,1.3857253
CHAI CHEE RD,103.9232718,1.3256121
PUNGGOL PL,103.9030684,1.4030918
EDGEFIELD PLAINS,103.9090538,1.4008414
CHOA CHU KANG AVE 1,103.7449625,1.3767043
MEI LING ST,103.8031883,1.2942719
YISHUN ST 61,103.8376931,1.4205179
YISHUN ST 11,103.8327938,1.4321708
JURONG WEST ST 42,103.7216459,1.3531391
WEST COAST RD,103.7563454,1.3102413
BT BATOK EAST AVE 3,103.7582677,1.3443815
YISHUN AVE 4,103.8406564,1.4185912
SAUJANA RD,103.7670273,1.3823228
JURONG WEST ST 52,103.7177635,1.3481732
YISHUN AVE 7,103.8332015,1.4384951
ANG MO KIO AVE 9,103.8436947,1.3840378
GEYLANG BAHRU,103.8712596,1.3209869
PENDING RD,103.7710963,1.3762379
YISHUN AVE 2,103.835093,1.4259469
TAMPINES AVE 9,103.943333,1.3603201
YISHUN ST 72,103.8332441,1.4273961
ANG MO KIO AVE 6,103.8451154,1.3760492
HOUGANG AVE 2,103.884852,1.3681714
WOODLANDS ST 31,103.7749482,1.4304806
PETIR RD,103.7709641,1.3748828
CHAI CHEE AVE,103.9246368,1.3250333
YISHUN ST 81,103.8373043,1.4150598
BT BATOK CTRL,103.7497723,1.3502993
JURONG WEST ST 92,103.6901993,1.3412762
YISHUN ST 21,103.8368254,1.4331
WOODLANDS ST 41,103.7731592,1.4293302
HOUGANG AVE 7,103.8992095,1.3673872
HOUGANG ST 22,103.8909906,1.3556597
GANGSA RD,103.7663106,1.377842
JURONG WEST AVE 1,103.7212873,1.3510748
PASIR RIS ST 51,103.9500421,1.3680077
KALLANG BAHRU,103.8666035,1.3179767
SERANGOON NTH AVE 2,103.8722779,1.3646645
CORPORATION DR,103.7231742,1.3330012
TAMPINES ST 22,103.9510797,1.3490889
WOODLANDS ST 83,103.793685,1.4408196
BANGKIT RD,103.7741527,1.3776889
CLEMENTI AVE 4,103.7660987,1.3186409
HOUGANG AVE 4,103.8879925,1.3713668
WOODLANDS ST 32,103.7801462,1.4309653
OLD AIRPORT RD,103.8857949,1.3077047
JURONG EAST AVE 1,103.7347086,1.3441277
SERANGOON AVE 4,103.8707006,1.3582754
HOLLAND CL,103.7957992,1.3075068
TOA PAYOH CTRL,103.8490489,1.3342641
CLEMENTI AVE 2,103.7675569,1.3114857
POTONG PASIR AVE 1,103.8669414,1.3349168
FERNVALE LINK,103.8790556,1.3941017
PASIR RIS ST 11,103.9586667,1.364947
TAMPINES ST 34,103.9601044,1.3559296
HOUGANG AVE 5,103.8963229,1.367378
CASHEW RD,103.7677375,1.371811
SUMANG WALK,103.895989,1.4082573
BEDOK NTH ST 4,103.9397375,1.3321233
HOUGANG ST 61,103.8863784,1.3747019
YISHUN AVE 9,103.8418408,1.4338825
HOUGANG AVE 10,103.8918396,1.3730673
TAMPINES ST 41,103.9489686,1.3588314
CHAI CHEE DR,103.9191563,1.3240385
WOODLANDS AVE 1,103.7851183,1.4314714
WOODLANDS DR 52,103.7993728,1.4340454
HOUGANG ST 11,103.8801928,1.3519335
JURONG WEST ST 51,103.7205379,1.3478108
TELOK BLANGAH HTS,103.8114559,1.2766698
KIM TIAN RD,103.8277583,1.2824629
BEDOK NTH ST 1,103.9308139,1.3272469
HOLLAND AVE,103.7950853,1.3090851
TAMPINES ST 24,103.9517559,1.3553387
SIMS PL,103.8798859,1.3171615
LOR AH SOO,103.8848211,1.3514894
BEDOK STH AVE 2,103.9374146,1.3222585
SERANGOON AVE 2,103.8699198,1.3515525
HOUGANG AVE 6,103.8928605,1.3764879
YISHUN ST 41,103.845417,1.4194387
WHAMPOA WEST,103.8636292,1.3207966
WOODLANDS ST 81,103.789208,1.4414768
UBI AVE 1,103.8980834,1.3262572
TAMPINES ST 21,103.9489696,1.3516213
TAMPINES ST 11,103.9469682,1.3455889
DOVER CRES,103.7827307,1.3056796
WOODLANDS ST 82,103.7913931,1.4432749
TAMPINES ST 44,103.953864,1.3601168
WOODLANDS CIRCLE,103.798085,1.4444853
WOODLANDS DR 50,103.7935814,1.4370612
JURONG EAST ST 13,103.7372944,1.3370334
REDHILL CL,103.816976,1.286539
TAMPINES ST 83,103.9344639,1.353207
HENDERSON CRES,103.8217207,1.2888276
DOVER RD,103.7794345,1.3038064
WOODLANDS AVE 6,103.8029865,1.4387795
CHOA CHU KANG AVE 2,103.7427563,1.3783588
WOODLANDS AVE 4,103.7957198,1.4381579
TAMPINES ST 81,103.933707,1.3483827
TAMPINES ST 43,103.9519403,1.3610757
MARSILING RD,103.7761594,1.4386801
HOLLAND DR,103.7929035,1.3098788
YISHUN ST 51,103.8433564,1.4163664
BT PURMEI RD,103.8255559,1.2727517
TAMPINES AVE 4,103.9423072,1.3516867
WOODLANDS DR 60,103.7997275,1.4469814
JURONG WEST ST 81,103.6951024,1.3471387
WOODLANDS RING RD,103.7994166,1.4384844
ADMIRALTY LINK,103.8175844,1.4552133
WOODLANDS DR 53,103.7971513,1.4323934
CHOA CHU KANG ST 52,103.743962,1.3948713
JURONG WEST ST 25,103.7038569,1.35401
KANG CHING RD,103.7219436,1.3390798
TAH CHING RD,103.7230735,1.3375173
KG KAYU RD,103.8825231,1.302647
TAMPINES AVE 8,103.9305734,1.3527568
MARINE CRES,103.9120279,1.3053359
CANBERRA ST,103.8323487,1.4482209
TAMPINES ST 42,103.9523818,1.3586058
CLEMENTI ST 12,103.7699016,1.3225224
JURONG EAST ST 31,103.7305042,1.3468955
JELAPANG RD,103.7672353,1.3859416
TAMPINES ST 82,103.9365762,1.3516141
CHOA CHU KANG AVE 5,103.739368,1.375558
CHOA CHU KANG AVE 4,103.7415944,1.3827764
CHOA CHU KANG CRES,103.7481519,1.4033017
CLEMENTI AVE 1,103.768452,1.3101746
FAJAR RD,103.7701699,1.3841157
YISHUN AVE 1,103.8461516,1.4177464
TAMPINES ST 91,103.9391248,1.348355
BT PANJANG RING RD,103.7645073,1.3864255
UPP BOON KENG RD,103.8720873,1.314381
JURONG WEST AVE 3,103.7047721,1.3520225
HAIG RD,103.8977379,1.3094682
CHOA CHU KANG DR,103.7462951,1.3940292
WOODLANDS DR 40,103.7960019,1.4421275
WOODLANDS AVE 3,103.773704,1.4321889
WOODLANDS DR 70,103.7983005,1.4412431
JURONG WEST ST 72,103.6990308,1.346019
YISHUN ST 31,103.8460726,1.4316202
MARINE DR,103.9089893,1.3035914
WHAMPOA STH,103.8669288,1.3243734
TAMPINES ST 23,103.9533691,1.3537876
CHOA CHU KANG AVE 3,103.742389,1.3807559
BT BATOK WEST AVE 9,103.7418879,1.3547991
JURONG WEST AVE 5,103.696943,1.3465872
KELANTAN RD,103.8566251,1.305729
WOODLANDS ST 11,103.7756533,1.4334437
NEW MKT RD,103.8447043,1.287167
FRENCH RD,103.8611394,1.3078243
JURONG WEST ST 71,103.6954423,1.342723
SILAT AVE,103.8305527,1.2765623
MONTREAL DR,103.8244035,1.4517958
PUNGGOL WALK,103.9004692,1.4052147
WOODLANDS DR 16,103.7946235,1.4302168
JLN TECK WHYE,103.7576493,1.3799998
NTH BRIDGE RD,103.8528602,1.2947532
SERANGOON CTRL,103.8729808,1.3511396
KEAT HONG CL,103.7425722,1.3744652
CANBERRA RD,103.8205743,1.4515732
ADMIRALTY DR,103.8171115,1.4506213
BISHAN ST 11,103.8522764,1.3464798
QUEEN'S CL,103.7999624,1.2930905
BISHAN ST 12,103.8508562,1.3464862
CASSIA CRES,103.8842296,1.3098201
CHOA CHU KANG CTRL,103.7467587,1.381097
JURONG WEST ST 24,103.7068711,1.3501592
WOODLANDS DR 75,103.8081174,1.4416879
WOODLANDS DR 14,103.7916525,1.431816
WOODLANDS DR 73,103.8060957,1.4410235
CHOA CHU KANG ST 54,103.7490301,1.3947917
GEYLANG EAST AVE 1,103.8853632,1.3171749
PUNGGOL WAY,103.8997945,1.4105803
EMPRESS RD,103.8062794,1.3172788
PINE CL,103.8829098,1.3080455
CANBERRA CRES,103.8299021,1.4467709
WOODLANDS DR 62,103.8053824,1.4393617
FERNVALE LANE,103.8710239,1.3894296
SUMANG LANE,103.8924562,1.4024854
WOODLANDS DR 42,103.7968163,1.4369712
RIVERVALE DR,103.90452,1.3872851
WOODLANDS DR 44,103.7944937,1.4314329
SEMBAWANG VISTA,103.8209053,1.44717
JURONG WEST ST 65,103.701055,1.339792
YUNG SHENG RD,103.721268,1.3347536
JURONG WEST ST 61,103.6984964,1.3385893
TAMPINES ST 84,103.9324682,1.3526996
SIMEI ST 1,103.9543872,1.3455145
SEMBAWANG CRES,103.8167763,1.4447069
INDUS RD,103.8277671,1.2914431
RACE COURSE RD,103.8530279,1.311657
SEMBAWANG CL,103.8173942,1.4474377
CRAWFORD LANE,103.8624671,1.3050562
PUNGGOL EAST,103.9164699,1.3951639
JURONG WEST ST 73,103.6998098,1.3470654
PUNGGOL RD,103.9024412,1.3952334
SENGKANG WEST AVE,103.8765026,1.3910131
HOUGANG ST 51,103.8878715,1.3801872
GHIM MOH LINK,103.7852125,1.3098426
JURONG WEST ST 75,103.6999037,1.3481024
BT BATOK ST 25,103.7609321,1.3436556
CHOA CHU KANG NTH 5,103.7464772,1.3919284
COMPASSVALE CRES,103.8982054,1.3972429
ANCHORVALE ST,103.8891036,1.3972468
TAMPINES ST 12,103.9450892,1.3499048
CANBERRA WALK,103.8299003,1.4474469
ANCHORVALE RD,103.8872437,1.3933007
JURONG WEST ST 74,103.6992434,1.3494351
YUNG HO RD,103.7227056,1.3265371
PUNGGOL FIELD,103.905639,1.399453
CHOA CHU KANG ST 53,103.747286,1.3912823
SIN MING AVE,103.8360951,1.3633048
YUNG LOH RD,103.7221723,1.3275894
HOUGANG ST 21,103.886022,1.3580972
CLEMENTI ST 11,103.7705122,1.3221737
CHOA CHU KANG ST 62,103.746659,1.39885
WOODLANDS DR 72,103.8044054,1.4434272
COMPASSVALE RD,103.8974758,1.3903291
EDGEDALE PLAINS,103.9132309,1.3984254
HOUGANG ST 91,103.8821387,1.3771029
HOUGANG ST 52,103.8894006,1.3767515
SENGKANG EAST WAY,103.8966608,1.3922403
YISHUN ST 20,103.8353506,1.4359936
TOH GUAN RD,103.7475947,1.3363443
ANCHORVALE CRES,103.8907686,1.398666
FERNVALE ST,103.880279,1.3982639
DORSET RD,103.8503232,1.3134015
SERANGOON CTRL DR,103.8716088,1.3546564
JURONG WEST ST 64,103.703964,1.3411285
MCNAIR RD,103.8580753,1.3194691
ANCHORVALE LANE,103.8843019,1.3919526
ANCHORVALE DR,103.8894421,1.3906074
RIVERVALE ST,103.9034796,1.3884505
SERANGOON NTH AVE 3,103.8722463,1.3646732
SENGKANG EAST RD,103.8926272,1.3905505
PUNGGOL DR,103.9125114,1.4025582
BT BATOK WEST AVE 5,103.7422731,1.3587224
RIVERVALE WALK,103.9009283,1.3833793
HOUGANG ST 92,103.879975,1.3731277
COMPASSVALE ST,103.8980618,1.3951499
BISHAN ST 13,103.8539786,1.3493515
PASIR RIS DR 6,103.9567674,1.3720207
OWEN RD,103.852259,1.3146313
HOUGANG AVE 9,103.8810633,1.3750117
CANBERRA LINK,103.8274836,1.4468939
SENJA LINK,103.7627585,1.3871305
SERANGOON NTH AVE 4,103.8722146,1.3646819
UPP SERANGOON CRES,103.9005506,1.3773161
JURONG WEST CTRL 3,103.7063468,1.3406054
BT BATOK EAST AVE 6,103.7572799,1.3452014
BUANGKOK LINK,103.8820525,1.3826691
YISHUN ST 43,103.8523742,1.4254044
JURONG WEST CTRL 1,103.7054434,1.342604
HOUGANG CTRL,103.89205,1.3713044
SUMANG LINK,103.9001695,1.4104442
SERANGOON AVE 3,103.8682342,1.3515054
WOODLANDS AVE 9,103.798614,1.4482076
COMPASSVALE WALK,103.8985709,1.3895044
PASIR RIS DR 4,103.9609009,1.3735869
BT MERAH CTRL,103.8162114,1.2836747
CHOA CHU KANG NTH 6,103.7474905,1.3963312
PUNGGOL FIELD WALK,103.9125735,1.3919511
YUNG AN RD,103.7195045,1.336678
UPP CROSS ST,103.8432978,1.285455
PASIR RIS ST 71,103.9373989,1.3755676
POTONG PASIR AVE 3,103.8651988,1.3336139
COMPASSVALE DR,103.8969344,1.3878883
TAMPINES AVE 1,103.9338822,1.3464261
UPP SERANGOON VIEW,103.9030884,1.3748539
ROWELL RD,103.8551033,1.3084528
TAMPINES ST 33,103.9600783,1.352159
MOH GUAN TER,103.8305259,1.2838786
TAMPINES ST 45,103.9577982,1.3591474
VEERASAMY RD,103.8543697,1.3074316
SAGO LANE,103.8441676,1.2813003
SMITH ST,103.8439086,1.2824893
SHUNFU RD,103.8376231,1.3518362
CHOA CHU KANG NTH 7,103.7472414,1.4007256
PASIR RIS ST 12,103.9587452,1.3666166
PASIR RIS ST 13,103.9616212,1.3634402
PASIR RIS ST 21,103.9623767,1.3680634
PASIR RIS DR 3,103.9516458,1.37497
JOO SENG RD,103.8819507,1.3363406
BT BATOK ST 24,103.7566503,1.3426632
QUEEN ST,103.8534866,1.2995426
QUEENSWAY,103.8008914,1.2995974
JURONG WEST ST 62,103.700951,1.3404677
GLOUCESTER RD,103.8520501,1.3129226
SENGKANG EAST AVE,103.8934541,1.3866378
PASIR RIS DR 1,103.9488267,1.3711059
BUFFALO RD,103.8507191,1.3067427
CHOA CHU KANG AVE 7,103.7466605,1.3749472
TANGLIN HALT RD,103.7979427,1.301543
SIMEI RD,103.9577454,1.344276
JLN RAJAH,103.8513285,1.3279521
CHANDER RD,103.8517843,1.308705
DAKOTA CRES,103.8859758,1.3065356
TOH YI DR,103.7716335,1.3380803
EUNOS RD 5,103.8961606,1.3204327
JOO CHIAT RD,103.9052416,1.3055539
TAMPINES ST 71,103.9333956,1.357814
YUNG KUANG RD,103.7230853,1.3314888
PASIR RIS DR 10,103.9381962,1.3796897
POTONG PASIR AVE 2,103.8671098,1.332239
CHOA CHU KANG LOOP,103.7454465,1.3845841
WOODLANDS DR 71,103.8002157,1.4397727
SIMEI ST 2,103.9556108,1.3440316
ALJUNIED AVE 2,103.8870987,1.3209156
PASIR RIS ST 52,103.9461073,1.3747071
MARINE PARADE CTRL,103.9065384,1.302042
TOWNER RD,103.8586806,1.3199117
WOODLANDS AVE 5,103.7924408,1.4350425
PASIR RIS ST 72,103.9364876,1.3803503
COMPASSVALE LINK,103.8951903,1.3835873
TG PAGAR PLAZA,103.8432357,1.2754001
QUEEN'S RD,103.8093452,1.3206693
COMPASSVALE BOW,103.8936641,1.3815171
WOODLANDS RISE,103.8044709,1.447006
BT MERAH LANE 1,103.8039272,1.2856468
PASIR RIS ST 53,103.9470266,1.3740966
CHOA CHU KANG ST 64,103.750071,1.397576
TAMPINES ST 32,103.9579087,1.3537995
LENGKOK BAHRU,103.8137417,1.2869338
SENGKANG CTRL,103.8932837,1.3845621
TAMPINES ST 72,103.93467,1.3593543
BEDOK RESERVOIR VIEW,103.936717,1.3368264
ELIAS RD,103.9414209,1.3776679
CLEMENTI AVE 6,103.7641898,1.3231593
WATERLOO ST,103.8515587,1.2987785
SIMEI ST 4,103.9559533,1.3420111
EVERTON PK,103.839286,1.2768545
JLN TENAGA,103.9065967,1.3324728
CANTONMENT CL,103.840241,1.2750516
BT BATOK ST 22,103.7497106,1.3441734
HOUGANG ST 31,103.8895561,1.36277
C'WEALTH AVE WEST,103.819836,1.352083
BISHAN ST 24,103.844408,1.3565862
TAMPINES AVE 7,103.9510693,1.3566358
JLN TENTERAM,103.8594238,1.3270591
ANG MO KIO ST 61,103.8411848,1.3809827
BEDOK CTRL,103.9335975,1.3257572
YISHUN CTRL 1,103.8373172,1.4284719
BOON KENG RD,103.8645024,1.3153712
KIM KEAT LINK,103.8549019,1.3310371
LOMPANG RD,103.7655203,1.3798797
KENT RD,103.8521212,1.3162604
BEDOK RESERVOIR CRES,103.9204707,1.3363313
PIPIT RD,103.8869211,1.3237103
JLN MEMBINA,103.826682,1.2834898
FARRER PK RD,103.8510147,1.3114778
UPP SERANGOON RD,103.8824703,1.3576474
SEMBAWANG WAY,103.8164795,1.4485106
KLANG LANE,103.8522102,1.3083426
JLN BERSEH,103.8575198,1.307226
TAMPINES CTRL 1,103.9452518,1.3545669
CAMBRIDGE RD,103.8485505,1.3149686
HENDERSON RD,103.8176054,1.2804105
HOUGANG ST 32,103.8941426,1.3632819
JLN DAMAI,103.9094395,1.3334879
SIMEI ST 5,103.9540976,1.3439132
TAMPINES CTRL 8,103.9405427,1.3566538
BISHAN ST 22,103.8452482,1.3573661
FARRER RD,103.8077515,1.3174693
YUNG PING RD,103.7220882,1.3298767
SERANGOON AVE 1,103.8751305,1.3475443
DEPOT RD,103.8098305,1.2815762
WHAMPOA RD,103.8563608,1.3260052
GEYLANG EAST CTRL,103.8868693,1.3189985
KEAT HONG LINK,103.7488088,1.3756913
ANG MO KIO ST 44,103.8574991,1.3663588
CHIN SWEE RD,103.8385788,1.2860446
BISHAN ST 23,103.8465231,1.3570608
KG ARANG RD,103.8822052,1.3001369
MOULMEIN RD,103.8484817,1.3190419
TELOK BLANGAH ST 31,103.8067579,1.2751288
ANG MO KIO ST 31,103.8480131,1.3659273
JLN DUSUN,103.8438938,1.3277355
JELEBU RD,103.7640651,1.3794497
SIMS AVE,103.8867027,1.3158411
BRIGHT HILL DR,103.8319525,1.3574913
CLEMENTI ST 14,103.7690287,1.3228451
STRATHMORE AVE,103.8099224,1.2937362
ANG MO KIO ST 32,103.8502584,1.3645675
LOR 3 GEYLANG,103.8730971,1.314942
ANG MO KIO ST 52,103.8533043,1.3725681
BT BATOK WEST AVE 7,103.7487899,1.3652691
PASIR RIS ST 41,103.9588154,1.3727321
C'WEALTH AVE,103.819836,1.352083
CLEMENTI ST 13,103.7711366,1.3235932
KIM CHENG ST,103.8319254,1.2845803
TAMPINES ST 86,103.9291632,1.3529253
TAMPINES ST 61,103.9370062,1.362723
DAWSON RD,103.8106115,1.2947656
LOR 1A TOA PAYOH,103.8448183,1.337022
ALJUNIED RD,103.8814376,1.3223031
TESSENSOHN RD,103.8561183,1.3152915
LIM LIAK ST,103.831512,1.2852747
SIMEI LANE,103.9583955,1.343335
TIONG BAHRU RD,103.834072,1.2848811
SENG POH RD,103.8330175,1.284938
KIM TIAN PL,103.8286752,1.2832965
DELTA AVE,103.8273772,1.2920413
BOON TIONG RD,103.8314976,1.2864674
LENGKONG TIGA,103.91147,1.3243821
KRETA AYER RD,103.8421525,1.2810807
GEYLANG SERAI,103.8973851,1.3169537
JLN TIGA,103.8844315,1.3080485
JELLICOE RD,103.8623068,1.3079687
REDHILL RD,103.8162875,1.2876348
AH HOOD RD,103.8467576,1.3276907
BAIN ST,103.85396,1.2971072
CLARENCE LANE,103.8140262,1.2923127
ANG MO KIO ST 51,103.8541569,1.3710801
KIM PONG RD,103.830134,1.2849229
ANG MO KIO ST 11,103.8359091,1.3709461
ANG MO KIO ST 21,103.8348498,1.3688211
ANG MO KIO AVE 2,103.8331481,1.3727518
REDHILL LANE,103.8186716,1.2881024
SPOTTISWOODE PK RD,103.8372683,1.2752989
JLN MA'MOR,103.8572634,1.3282055
GEYLANG EAST AVE 2,103.8887758,1.3176923
DOVER CL EAST,103.7862278,1.3037887
ZION RD,103.832707,1.2911232
MARGARET DR,103.8083373,1.2968424
CANTONMENT RD,103.840929,1.2759397
